Spanish,English Translation - Meaning in English.,French Translation - Meaning in French.,Italian Translation - Meaning in Italian.,Portuguese Translation - Meaning in Portuguese.,Spanish Sentence - Story sentence using the verb in Spanish.,English Sentence - Translation of the story sentence in English.,French Sentence - Translation of the story sentence in French.,Italian Sentence - Translation of the story sentence in Italian.,Portuguese Sentence - Translation of the story sentence in Portuguese.
ayudar,to help,aider,aiutare,ajudar,Curb Appeall ayuda a Platypus a preparar un picnic saludable.,Curb Appeall helps Platypus prepare a healthy picnic.,Curb Appeall aide Platypus à préparer un pique-nique.,Curb Appeall aiuta Platypus a preparare un picnic.,Curb Appeall ajuda o Platypus a preparar um piquenique.
estudiar,to study,étudier,studiare,estudar,Curb y sus amigos decidieron estudiar nutrición para entender mejor sus alimentos favoritos.,Curb and his friends decided to study nutrition to better understand their favorite foods.,Curb et ses amis ont décidé d'étudier la nutrition pour mieux comprendre leurs aliments préférés.,Curb e i suoi amici hanno deciso di studiare la nutrizione per capire meglio i loro cibi preferiti.,Curb e seus amigos decidiram estudar nutrição para entender melhor seus alimentos favoritos.
enseñar,to teach,enseigner,insegnare,ensinar,El canguro enseñó a los demás a preparar un batido saludable con frutas y verduras.,The kangaroo taught the others how to make a healthy smoothie with fruits and vegetables.,Le kangourou a appris aux autres à préparer un smoothie sain avec des fruits et des légumes.,Il canguro ha insegnato agli altri come preparare un frullato sano con frutta e verdura.,O canguru ensinou os outros a fazer um smoothie saudável com frutas e vegetais.
disfrutar,to enjoy,profiter de,godere,aproveitar,Todos disfrutaron el batido mientras discutían formas de ahorrar dinero en alimentos saludables.,Everyone enjoyed the smoothie while discussing ways to save money on healthy food.,Tout le monde a profité du smoothie tout en discutant des moyens d'économiser de l'argent sur la nourriture saine.,Tutti hanno goduto del frullato mentre discutevano modi per risparmiare denaro sugli alimenti sani.,Todos aproveitaram o smoothie enquanto discutiam maneiras de economizar dinheiro em alimentos saudáveis.
trabajar,to work,travailler,lavorare,trabalhar,Decidieron trabajar juntos en un jardín comunitario para cultivar alimentos frescos.,They decided to work together in a community garden to grow fresh food.,Ils ont décidé de travailler ensemble dans un jardin communautaire pour cultiver des aliments frais.,Hanno deciso di lavorare insieme in un giardino comunitario per coltivare cibo fresco.,Decidiram trabalhar juntos em um jardim comunitário para cultivar alimentos frescos.
pagar,to pay,payer,pagare,pagar,Curb sugirió pagar con tiempo en lugar de dinero para aprender habilidades en el jardín.,Curb suggested paying with time instead of money to learn skills in the garden.,Curb a suggéré de payer avec du temps plutôt qu'avec de l'argent pour apprendre des compétences dans le jardin.,Curb ha suggerito di pagare con il tempo invece che con i soldi per imparare le competenze nel giardino.,Curb sugeriu pagar com tempo em vez de dinheiro para aprender habilidades no jardim.
ahorrar,to save,économiser,risparmiare,economizar,Aprendieron a ahorrar agua utilizando sistemas de riego eficiente.,They learned to save water by using efficient irrigation systems.,Ils ont appris à économiser de l'eau en utilisant des systèmes d'irrigation efficaces.,Hanno imparato a risparmiare acqua utilizzando sistemi di irrigazione efficienti.,Aprenderam a economizar água usando sistemas de irrigação eficientes.
cocinar,to cook,cuisiner,cucinare,cozinhar,"Luego, cocinaron juntos una sopa con las verduras que cultivaron.","Then, they cooked a soup together with the vegetables they grew.","Ensuite, ils ont cuisiné une soupe ensemble avec les légumes qu'ils ont cultivés.",Poi hanno cucinato insieme una zuppa con le verdure che hanno coltivato.,"Depois, cozinharam juntos uma sopa com os vegetais que cultivaram."
compartir,to share,partager,condividere,compartilhar,Decidieron compartir la sopa con los niños del vecindario para enseñarles sobre nutrición.,They decided to share the soup with the neighborhood kids to teach them about nutrition.,Ils ont décidé de partager la soupe avec les enfants du quartier pour leur enseigner la nutrition.,Hanno deciso di condividere la zuppa con i bambini del quartiere per insegnare loro la nutrizione.,Decidiram compartilhar a sopa com as crianças da vizinhança para ensiná-las sobre nutrição.
caminar,to walk,marcher,camminare,caminhar,"Después de la comida, dieron un paseo por el vecindario para promover la actividad física.","After the meal, they took a walk around the neighborhood to promote physical activity.","Après le repas, ils ont fait une promenade dans le quartier pour promouvoir l'activité physique.","Dopo il pasto, hanno fatto una passeggiata nel quartiere per promuovere l'attività fisica.","Após a refeição, deram um passeio pelo bairro para promover a atividade física."
aprender,to learn,apprendre,imparare,aprender,Curb y sus amigos quieren aprender a ahorrar.,Curb and his friends want to learn how to save.,Curb et ses amis veulent apprendre à économiser.,Curb e i suoi amici vogliono imparare a risparmiare.,Curb e seus amigos querem aprender a economizar.
escuchar,to listen,écouter,ascoltare,ouvir,El grupo escucha atentamente a una nutria que les habla sobre dinero.,The group listens carefully to an otter talking about money.,Le groupe écoute attentivement une loutre parler d'argent.,Il gruppo ascolta attentamente una lontra che parla di soldi.,O grupo ouve atentamente uma lontra falando sobre dinheiro.
planear,to plan,planifier,pianificare,planejar,La nutria les enseña a planear un presupuesto para su viaje.,The otter teaches them to plan a budget for their trip.,La loutre leur apprend à planifier un budget pour leur voyage.,La lontra insegna loro a pianificare un budget per il loro viaggio.,A lontra ensina-os a planejar um orçamento para sua viagem.
correr,to run,courir,correre,correr,"Más tarde, deciden correr alrededor del lago como ejercicio.","Later, they decide to run around the lake as exercise.","Plus tard, ils décident de courir autour du lac comme exercice.","Più tardi, decidono di correre intorno al lago come esercizio.","Mais tarde, eles decidem correr ao redor do lago como exercício."
cocinar,to cook,cuisiner,cucinare,cozinhar,"Al volver, Curb ayuda a cocinar una cena saludable con la canguro.","Upon returning, Curb helps cook a healthy dinner with the kangaroo.","En rentrant, Curb aide à cuisiner un dîner sain avec le kangourou.","Al ritorno, Curb aiuta a cucinare una cena salutare con il canguro.","Ao voltar, Curb ajuda a cozinhar um jantar saudável com o canguru."
bailar,to dance,danser,ballare,dançar,"Después de cenar, todos empiezan a bailar para celebrar su aprendizaje.","After dinner, everyone starts dancing to celebrate their learning.","Après le dîner, tout le monde commence à danser pour célébrer leur apprentissage.","Dopo cena, tutti iniziano a ballare per celebrare il loro apprendimento.","Após o jantar, todos começam a dançar para celebrar o que aprenderam."
descansar,to rest,se reposer,riposarsi,descansar,"Luego, deciden descansar bajo un gran árbol mientras hablan sobre sus sueños.","Then, they decide to rest under a big tree while talking about their dreams.","Ensuite, ils décident de se reposer sous un grand arbre tout en parlant de leurs rêves.",Poi decidono di riposarsi sotto un grande albero mentre parlano dei loro sogni.,"Depois, eles decidem descansar sob uma grande árvore enquanto falam sobre seus sonhos."
saltar,to jump,sauter,saltare,pular,"Mientras descansan, deciden saltar sobre rocas para practicar equilibrio.","While resting, they decide to jump over rocks to practice balance.","Pendant qu'ils se reposent, ils décident de sauter sur des rochers pour pratiquer l'équilibre.","Mentre si riposano, decidono di saltare sulle rocce per praticare l'equilibrio.","Enquanto descansam, eles decidem pular sobre pedras para praticar o equilíbrio."
jugar,to play,jouer,giocare,jogar,Los niños y los animales juegan a inventar recetas saludables.,The kids and the animals play by inventing healthy recipes.,Les enfants et les animaux jouent à inventer des recettes saines.,I bambini e gli animali giocano inventando ricette salutari.,As crianças e os animais brincam de inventar receitas saudáveis.
buscar,to search,chercher,cercare,buscar,Deciden buscar ingredientes locales para preparar un gran desayuno.,They decide to search for local ingredients to prepare a big breakfast.,Ils décident de chercher des ingrédients locaux pour préparer un grand petit-déjeuner.,Decidono di cercare ingredienti locali per preparare una grande colazione.,Decidem buscar ingredientes locais para preparar um grande café da manhã.
encontrar,to find,trouver,trovare,encontrar,Encuentran frutas frescas y hierbas para sus recetas.,They find fresh fruits and herbs for their recipes.,Ils trouvent des fruits frais et des herbes pour leurs recettes.,Trovano frutta fresca ed erbe per le loro ricette.,Eles encontram frutas frescas e ervas para suas receitas.
explicar,to explain,expliquer,spiegare,explicar,El lémur explica por qué las frutas son buenas para la energía.,The lemur explains why fruits are good for energy.,Le lémurien explique pourquoi les fruits sont bons pour l'énergie.,Il lemure spiega perché i frutti sono buoni per l'energia.,O lêmure explica por que as frutas são boas para a energia.
ganar,to win,gagner,vincere,ganhar,"""¡Si seguimos así, podemos ganar un concurso de cocina!"", dice Curb.","""If we keep this up, we can win a cooking contest!"" says Curb.","""Si nous continuons ainsi, nous pouvons gagner un concours de cuisine !"", dit Curb.","""Se continuiamo così, possiamo vincere un concorso di cucina!"" dice Curb.","""Se continuarmos assim, podemos ganhar um concurso de culinária!"" diz Curb."
correr,to run,courir,correre,correr,"Por la mañana, todos corren juntos como parte de su rutina diaria.","In the morning, they all run together as part of their daily routine.","Le matin, ils courent tous ensemble dans le cadre de leur routine quotidienne.","Al mattino, corrono tutti insieme come parte della loro routine quotidiana.","De manhã, todos correm juntos como parte de sua rotina diária."
enseñar,to teach,enseigner,insegnare,ensinar,El canguro les enseña cómo medir sus porciones de comida usando sus manos.,The kangaroo teaches them how to measure their food portions using their hands.,Le kangourou leur enseigne comment mesurer leurs portions de nourriture avec leurs mains.,Il canguro insegna loro come misurare le porzioni di cibo usando le mani.,O canguru ensina como medir as porções de comida usando as mãos.
beber,to drink,boire,bere,beber,El ornitorrinco recuerda a todos que es importante beber suficiente agua.,The platypus reminds everyone that it’s important to drink enough water.,L'ornithorynque rappelle à tout le monde qu'il est important de boire suffisamment d'eau.,L'ornitorinco ricorda a tutti che è importante bere abbastanza acqua.,O ornitorrinco lembra a todos que é importante beber água suficiente.
descansar,to rest,se reposer,riposarsi,descansar,"Después de correr, se sientan a descansar bajo un gran árbol.","After running, they sit to rest under a big tree.","Après avoir couru, ils s'assoient pour se reposer sous un grand arbre.","Dopo aver corso, si siedono a riposarsi sotto un grande albero.","Após correrem, sentam-se para descansar sob uma grande árvore."
escuchar,to listen,écouter,ascoltare,ouvir,"Mientras descansan, escuchan el canto de los pájaros.","While resting, they listen to the birdsong.","Pendant qu'ils se reposent, ils écoutent le chant des oiseaux.","Mentre si riposano, ascoltano il canto degli uccelli.","Enquanto descansam, ouvem o canto dos pássaros."
preparar,to prepare,préparer,preparare,preparar,Todos se reúnen para preparar un desayuno saludable con frutas y avena.,They all gather to prepare a healthy breakfast with fruits and oats.,Ils se réunissent tous pour préparer un petit-déjeuner sain avec des fruits et de l'avoine.,Si riuniscono tutti per preparare una colazione sana con frutta e avena.,Todos se reúnem para preparar um café da manhã saudável com frutas e aveia.
caminar,to walk,marcher,camminare,caminhar,"Más tarde, deciden caminar al mercado para buscar más ingredientes.","Later, they decide to walk to the market to find more ingredients.","Plus tard, ils décident de marcher jusqu'au marché pour trouver d'autres ingrédients.","Più tardi, decidono di camminare fino al mercato per trovare altri ingredienti.","Mais tarde, decidem caminhar até o mercado para encontrar mais ingredientes."
ahorrar,to save (money),économiser,risparmiare,economizar,Curb les dice que ahorrar dinero también es parte de un estilo de vida saludable.,Curb tells them that saving money is also part of a healthy lifestyle.,Curb leur dit qu'économiser de l'argent fait également partie d'un mode de vie sain.,Curb dice loro che risparmiare denaro è anche parte di uno stile di vita sano.,Curb diz que economizar dinheiro também faz parte de um estilo de vida saudável.
compartir,to share,partager,condividere,compartilhar,Curb sugiere que todos compartan una lista de compras para ahorrar dinero.,Curb suggests that everyone shares a shopping list to save money.,Curb suggère que tout le monde partage une liste de courses pour économiser de l'argent.,Curb suggerisce a tutti di condividere una lista della spesa per risparmiare denaro.,Curb sugere que todos compartilhem uma lista de compras para economizar dinheiro.
cocinar,to cook,cuisiner,cucinare,cozinhar,El canguro ayuda a cocinar un guiso con vegetales frescos del mercado.,The kangaroo helps cook a stew with fresh vegetables from the market.,Le kangourou aide à cuisiner un ragoût avec des légumes frais du marché.,Il canguro aiuta a cucinare uno stufato con verdure fresche dal mercato.,O canguru ajuda a cozinhar um ensopado com vegetais frescos do mercado.
saltar,to jump,sauter,saltare,pular,"Después de comer, los niños deciden saltar la cuerda para hacer ejercicio.","After eating, the kids decide to jump rope for exercise.","Après avoir mangé, les enfants décident de sauter à la corde pour faire de l'exercice.","Dopo aver mangiato, i bambini decidono di saltare la corda per esercitarsi.","Depois de comer, as crianças decidem pular corda para se exercitar."
